event_number, px, py, pz, E
53 -7.31393 -4.34543 -0.653599 8.5325
53 -1.50292 -0.904917 -0.195467 1.76518
53 -8.18711 -7.34152 -3.21269 11.4564
53 -0.787222 -0.693849 -0.349227 1.10594
53 4.21713 -15.37 1.70529 16.029
53 0.810839 -2.84429 0.266014 2.96955
53 -4.81981 3.55425 0.865364 6.0508
53 -4.77936 3.44334 0.969473 5.96982
53 -9.97252 11.4245 4.14308 15.7205
53 -2.99163 3.49731 1.31794 4.78727
54 -2.43808 0.137293 0.569865 2.50756
54 -0.976264 0.132333 0.268168 1.02104
54 -7.94759 -6.81996 3.02206 10.9
54 -3.33906 -2.95949 1.34123 4.65905
54 3.37184 1.75991 -0.662825 3.86082
54 1.22714 0.732637 -0.235897 1.44854
54 0.632973 -9.16392 0.472607 9.1979
54 0.181031 -2.98454 0.0809634 2.99112
54 -15.5634 -2.3939 -1.14776 15.7882
54 -1.89771 -0.27505 -0.183987 1.92635
55 -10.4741 -2.08487 -0.764113 10.7069
55 -5.21865 -0.960958 -0.43665 5.32432
55 -8.31485 -14.1294 1.18158 16.4369
55 -1.7052 -2.99396 0.286412 3.45739
55 -5.78201 5.6257 0.126484 8.06822
55 -2.88237 2.90355 0.128926 4.09332
55 -6.79516 -7.69983 0.219847 10.2718
55 -0.0382127 -0.045126 0.0114952 0.0602387
55 3.35426 -7.84799 0.747416 8.56741
55 0.562548 -1.26642 0.0704852 1.38753
56 -6.52955 -2.64561 0.480693 7.06154
56 -1.73923 -0.755404 0.077393 1.89778
56 -2.78176 -3.53745 -0.556634 4.53449
56 -1.86905 -2.20715 -0.33095 2.91108
56 -3.72731 -2.43058 -0.459987 4.47349
56 -1.45343 -1.04513 -0.211234 1.8026
56 5.07386 2.15454 1.4111 5.69011
56 2.33223 0.89321 0.655876 2.58211
56 -4.03652 -3.08854 0.62109 5.12039
56 -0.0122437 -0.00410038 0.00718315 0.0147756
57 1.34829 -2.87797 -0.200035 3.18443
57 1.31464 -2.57041 -0.262861 2.89903
57 -9.15869 -8.71861 -3.46381 13.1108
57 -4.55417 -4.46003 -1.77935 6.61803
57 -9.44586 9.25479 -1.68508 13.331
57 -2.03032 1.90259 -0.355645 2.80509
57 -8.45548 -4.78296 -0.145522 9.71561
57 -3.00589 -1.78968 -0.0297866 3.49845
57 -3.49281 0.773965 0.985138 3.71069
57 -1.10435 0.29088 0.251112 1.1693
58 6.12401 -3.02849 -1.42326 6.9786
58 5.54604 -2.8721 -1.24344 6.36818
58 -4.32375 3.70571 0.736655 5.74193
58 -2.98029 2.49816 0.607197 3.93594
58 5.90211 -3.59056 0.339652 6.91682
58 1.54905 -0.871051 0.0561501 1.77804
58 5.12435 -2.16439 1.32312 5.71788
58 4.08606 -1.60382 1.08698 4.52213
58 5.79337 -1.8908 -1.36321 6.24472
58 0.790905 -0.224582 -0.22301 0.851881
59 -1.10432 1.86489 0.509337 2.22637
59 -0.690405 0.988414 0.328837 1.2497
59 5.95007 -8.69248 -1.41565 10.6286
59 0.763686 -1.182 -0.221552 1.42458
